name,station,category,review,address,latitude,longitude
뮤라벨 성인전문음악학원 강남본원,강남역,피아노,533,서울 강남구 강남대로94길 9 4층,37.4994846,127.0280991
에버라틴댄스A학원,강남역,댄스교육,434,서울 강남구 테헤란로6길 9 장원빌딩 라틴,37.4980087,127.0307745
이룸에이트 방탈출카페,강남역,방탈출카페,2854,서울 강남구 봉은사로 115 노벨테크빌딩 B2F,37.5052654,127.026161
오하운폴댄스학원 강남점,강남역,댄스교육,942,"서울 강남구 봉은사로6길 34 스타제이빌딩 3층, 4층",37.502838,127.027394
그라운드시소 센트럴,서울역,전시관,5529,서울 중구 세종대로 14 그랜드센트럴 3F,37.557877,126.9743793
문화역서울284,서울역,복합문화공간,9168,서울 중구 통일로 1 문화역서울284,37.5558824,126.9715573
동자아트홀,서울역,공연장,48,서울 용산구 한강대로 372 45 KDB생명타워 B2층,37.5515841,126.9728797
서소문성지역사박물관,서울역,박물관,2526,서울 중구 칠패로 5,37.5605524,126.96935
스페이스후암23,서울역,"갤러리,화랑",43,서울 용산구 후암로 23 space huam23,37.5478492,126.9777478
KP Gallery,서울역,"갤러리,화랑",30,서울 용산구 소월로2나길 12,37.5533283,126.9773127
스튜디오코드,서울역,"셀프,대여스튜디오",46,서울 중구 만리재로 217,37.5568928,126.968192
글루넛 가죽작업실,서울역,공방,287,서울 용산구 후암로13길 36 1층(후암동),37.5465893,126.9778234
세라믹스튜디오 이내,서울역,공방,59,서울 용산구 한강대로102가길 10-1 1층,37.5491302,126.973101
구립청파도서관,서울역,도서관,64,서울 용산구 청파로93길 27,37.5539424,126.9675804
GDR+아카데미 실로암점,서울역,실내골프연습장,747,서울 중구 중림로 49 실로암빌딩 지하 1층,37.5577318,126.9686026
에오디에,서울역,공방,15,서울 용산구 후암로13길 4 1층,37.5480011,126.977618
기막힌셀프스튜디오 셀프사진관,서울역,"셀프,대여스튜디오",185,서울 용산구 청파로71길 32 지하 1층 기막힌스튜디오,37.5497062,126.9683043
GDR아카데미 용산서울역점,서울역,실내골프연습장,1111,서울 용산구 한강대로 366 트윈시티 남산 B2 GDR아카데미 용산 서울역점,37.5507383,126.9727203
샤워,서울역,"갤러리,화랑",8,서울 용산구 두텁바위로 61 지층,37.5461908,126.9790845
마이트리 GDR 아카데미 시청점,서울역,실내골프연습장,319,서울 중구 칠패로 27 지하2층,37.5601765,126.9720654
플러스준스튜디오 용산,서울역,"셀프,대여스튜디오",328,서울 용산구 한강대로98가길 7,37.5480011,126.9732436
얼스오브제,서울역,공방,116,서울 용산구 만리재로 186 2층,37.5543264,126.9668479
서울시립미술관,서울역,미술관,13976,서울 중구 덕수궁길 61,37.5643082,126.9744408
해랑스시,서울역,"초밥,롤",2778,서울 중구 통일로 10 연세세브란스빌딩 지하1층 해랑스시,37.5570572,126.9736211
도쿄스테이크 서울스퀘어점,서울역,"스테이크,립",3372,서울 중구 한강대로 416,37.5555215,126.9738608
라탄공방 슬로우위캔드,서울역,공방,18,서울 용산구 소월로2길 11 3층,37.5544952,126.9767447
동서골프프라자,서울역,실외골프연습장,288,서울 용산구 청파로 314,37.5476211,126.9706012
놉스 서울역점,서울역,"스테이크,립",822,서울 중구 세종대로 14 2층 201호,37.557877,126.9743793
갤러리 더 스퀘어 용산점,해방촌,차,71,서울 용산구 신흥로 103-1 2층,37.54478460000001,126.9844845
오드 프레젠트,해방촌,영화관,78,서울 용산구 소월로20길 53,37.54424290000001,126.984683
상히읗,해방촌,"갤러리,화랑",18,서울 용산구 신흥로 30 지하 02호,37.5410461,126.9872407
TTD,해방촌,공방,4,서울 용산구 신흥로11나길 2-27,37.5440638,126.9858941
감정선프로젝트 이태원본점,해방촌,공방,476,서울 용산구 회나무로 7 지하1층 감정선프로젝트 이태원본점,37.5386414,126.987676
카마라타뮤직컴퍼니,해방촌,"공연,연극시설",47,서울 용산구 신흥로7길 1,37.5419221,126.9871708
인프로그레스,해방촌,독립서점,45,서울 용산구 신흥로20길 35 지하 1층,37.5470704,126.9839278
콤콤오락실 이태원점,해방촌,오락실,13,서울 용산구 회나무로 3,37.5385944,126.9872881
올리에띠 가죽공방,해방촌,공방,583,서울 용산구 녹사평대로54길 23-1 1층(목포집포자옆 통로입구),37.5391822,126.9885233
야간작업실,해방촌,공방,24,서울 용산구 신흥로 121-1 1층 좌측,37.5445408,126.9824875
아프로탱,해방촌,공방,5,서울 용산구 녹사평대로46길 9 1층,37.5373969,126.9874034
쾨닉 서울,해방촌,전시관,353,서울 용산구 소월로38길 30-34 B1F,37.5440662,126.9901678
디어.,해방촌,공방,193,서울 용산구 회나무로6길 19 지층,37.5380738,126.9888796
와이아트스튜디오,해방촌,공방,28,서울 용산구 녹사평대로46길 23 202호,37.5372666,126.9881324
스토리지북앤필름 로터리점,해방촌,독립서점,94,서울 용산구 신흥로36길 5 1층,37.5465138,126.981956
벨리븐,해방촌,독립서점,62,서울 용산구 회나무로12길 5 Beleben,37.5391361,126.9895695
슈공방,해방촌,공방,96,서울 용산구 회나무로13가길 11 1층,37.5408168,126.9901879
실버키트하우스,해방촌,공방,65,서울 용산구 신흥로36길 6 1층,37.5463196,126.9818831
용산역사문화사회적협동조합,해방촌,"관람,체험",82,서울 용산구 신흥로36길 4 2층,37.5463972,126.9817824
세라믹 베이커리,해방촌,공방,6,서울 용산구 녹사평대로40나길 53 1층,37.5368836,126.9887314
갤러리 이알디,해방촌,"갤러리,화랑",171,서울 용산구 회나무로13가길 25,37.5410914,126.9909435
마시멜로우아트홀,해방촌,공방,56,서울 용산구 회나무로25길 25 2층,37.540874,126.990961
갤러리uhm,해방촌,"갤러리,화랑",51,서울 용산구 두텁바위로60길 49 대원정사빌딩 본관 4층,37.5489161,126.9833721
비체노 가죽공방,해방촌,공방,633,서울 용산구 녹사평대로40다길 2 101호,37.534968,126.9884789
놀숲 수유점,수유역,만화방,358,서울 강북구 노해로8길 22 211호,37.6379915,127.0242548
큐브이스케이프 수유점,수유역,방탈출카페,681,서울 강북구 도봉로87길 11 2층,37.638337,127.0248677
