name,station,score,review,address,latitude,longitude
폴바셋 롯데백화점김포공항점,김포공항역,4.4,67,서울 강서구 하늘길 38 GF층,37.5650592,126.8029919
엔제리너스 롯데몰김포공항점,김포공항역,2.8,41,서울 강서구 하늘길 38 GF층,37.5650592,126.8029919
앤드테라스 롯데백화점 김포공항점,김포공항역,3.5,65,서울 강서구 하늘길 38 1층,37.5650592,126.8029919
고양이정원,김포공항역,2.7,281,서울 강서구 개화동로19길 18 1층,37.5756613,126.8031136
노티드 김포롯데점,김포공항역,2.9,66,서울 강서구 하늘길 38 GM층,37.5650592,126.8029919
도레도레 김포롯데몰점,김포공항역,3.3,17,서울 강서구 하늘길 38 MF층,37.5650592,126.8029919
품차 김포공항 롯데시네마점,김포공항역,5.0,1,서울 강서구 하늘길 38 롯데시네마 1층,37.5650592,126.8029919
엔제리너스 김포공항1층점,김포공항역,2.5,52,서울 강서구 하늘길 112 국내선청사 1층,37.5567557,126.8084734
투썸플레이스 강서송정역점,김포공항역,2.5,28,서울 강서구 공항대로 30 1층,37.5606443,126.8103182
람미당,김포공항역,3.5,6,서울 강서구 남부순환로 19-4 미래스타빌 1층 101호,37.5597696,126.8081954
사이프러스,김포공항역,5.0,14,서울 강서구 공항대로2길 36,37.5598254,126.8085339
달콤커피 김포공항특설매장점,김포공항역,2.8,7,서울 강서구 하늘길 38 3층,37.5650592,126.8029919
스타벅스 송정역점,김포공항역,3.8,24,서울 강서구 공항대로 38 1층,37.5609724,126.8115576
스타벅스 김포공항국제선점,김포공항역,5.0,1,서울 강서구 하늘길 38,37.5650592,126.8029919
시나본 김포국제공항국내선,김포공항역,4.0,5,서울 강서구 하늘길 112 3층,37.5567557,126.8084734
할리스커피 김포공항점,김포공항역,2.9,32,서울 강서구 하늘길 112 1층,37.5567557,126.8084734
파스쿠찌 김포국제공항국내선,김포공항역,3.3,41,서울 강서구 하늘길 112 3층,37.5567557,126.8084734
아페 1호점,김포공항역,5.0,5,서울 강서구 개화동로 565,37.5620695,126.8074134
메가MGC커피 송정역점,김포공항역,3.0,8,서울 강서구 공항대로 28 1층,37.5610584,126.8102633
공차 김포공항국제선점,김포공항역,2.6,17,서울 강서구 하늘길 38 2층,37.5650592,126.8029919
송정역3번출구,김포공항역,4.0,1,서울 강서구 공항대로8길 18 1층,37.5603057,126.8121322
공차 김포롯데몰점,김포공항역,2.3,18,서울 강서구 하늘길 38 지하 1층,37.5650592,126.8029919
피코리코 롯데몰김포공항점,김포공항역,2.1,289,서울 강서구 하늘길 38 GF층,37.5650592,126.8029919
커피박스,김포공항역,5.0,6,서울 강서구 개화동로27가길 1 1층,37.5640774,126.8070102
모카라비아,김포공항역,4.8,13,서울 강서구 개화동로27가길 33 에어팰리스오피스텔 1층,37.5627035,126.8075219
스타벅스 김포공항국제선,김포공항역,0.0,3,서울 강서구 하늘길 38 국제선터미널 3층,37.5650592,126.8029919
빌라드샬롯 김포공항국내선청사3층점,김포공항역,1.9,85,서울 강서구 하늘길 112 3층,37.5567557,126.8084734
광화문살롱,증미역,3.1,205,"서울 강서구 공항대로45길 63 1층 105,106호",37.5578672,126.8560463
고양이똥 브런치,증미역,,228,서울 강서구 공항대로59가길 13,37.5520338,126.864644
스타벅스 가양역점,증미역,3.6,76,서울 강서구 양천로 476,37.5616105,126.8532675
투썸플레이스 가양역점,증미역,3.1,39,서울 강서구 양천로 504 명문빌딩 1층,37.5603801,126.8559885
스타벅스 강서구청사거리점,증미역,4.2,60,서울 강서구 화곡로 350 1층 104~107호,37.5549477,126.8523571
투썸플레이스 강서등촌한빛점,증미역,3.6,19,서울 강서구 공항대로45길 33 101호,37.5567725,126.8549852
사이유지,증미역,4.5,129,서울 강서구 공항대로53가길 48 1층,37.5554501,126.8590006
폴바셋 증미역점,증미역,3.9,139,서울 강서구 양천로 570 NH서울타워 1층,37.55669109999999,126.8618979
테이퍼드커피,증미역,3.6,205,서울 강서구 화곡로68길 47 트라비하우스 상가 1층,37.5587558,126.8570371
카페소금다방,증미역,4.3,50,서울 강서구 공항대로61길 42 1층,37.552769,126.8664546
투썸플레이스 강서구청점,증미역,4.5,29,"서울 강서구 화곡로 347 그랜드아이파크 1-2층 115~116, 209~210호",37.5548288,126.8511324
오프레스트 로스터리,증미역,,303,"서울 강서구 공항대로59길 64 상가 1동 1,2층 101,201,202호",37.5546116,126.8641623
모먼트인,증미역,,237,서울 강서구 화곡로64길 97 1층,37.5555236,126.8583029
스타벅스 가양역사거리점,증미역,4.0,79,서울 강서구 화곡로 416,37.5600431,126.8554733
메가MGC커피 가양역점,증미역,,34,서울 강서구 양천로 492 길훈엔트런스빌 1층 105호,37.5609499,126.854704
메가MGC커피 강서우림블루나인점,증미역,2.7,6,서울 강서구 양천로 583 우림블루나인비즈니스센터 1층 123호,37.5572518,126.864441
어니스트,증미역,5.0,18,서울 강서구 공항대로55길 33 성명빌딩 1층,37.554653,126.861256
키릴,증미역,4.6,121,서울 강서구 공항대로53길 23 아름드리 1층,37.5545727,126.8599793
투썸플레이스 등촌역점,증미역,2.1,38,서울 강서구 공항대로 519 신성빌딩 1층 102호,37.5517668,126.8641514
카페 모디피,증미역,4.8,171,서울 강서구 화곡로68길 132 2층 202호,37.5565517,126.8607412
설빙 서울가양점,증미역,3.7,36,서울 강서구 양천로 504 청산빌딩 2층,37.5603801,126.8559885
라토레,증미역,4.6,58,서울 강서구 양천로 564 두산위브센티움 1층 127호,37.5571535,126.8613865
이디야커피 까치산로점,증미역,5.0,19,서울 강서구 까치산로 182 101~102호,37.5533188,126.8538953
마리웨일 등촌역점,증미역,4.6,7,서울 강서구 공항대로61길 10 1층,37.55143229999999,126.8654944
메가MGC커피 가양두산위브점,증미역,5.0,4,서울 강서구 공항대로45길 15 102호,37.5561389,126.8544821
카페일분 가양점,증미역,4.9,17,서울 강서구 허준로 176 가양8단지아파트 상가동 1층 103호,37.5620958,126.8571739
뚜스뚜스 홈플러스강서점,증미역,3.1,206,"서울 강서구 화곡로 398 1,2층 X2,YC호",37.5584079,126.8550157
더벤티 강서구청사거리점,증미역,4.6,12,서울 강서구 화곡로64길 2 101호,37.5572601,126.8535714
숲속호두 등촌본점,증미역,3.0,13,서울 강서구 화곡로68길 91 1층,37.5575887,126.8591274
고망고 강서구청사거리점,증미역,4.8,16,서울 강서구 화곡로 347 그랜드아이파크 1층 106호,37.5548288,126.8511324
팀홀튼 구로하이엔드점,남구로역,3.2,87,서울 구로구 디지털로26길 5 에이스하이엔드타워1차 1층 101호,37.4815733,126.8934683
인크커피 가산점,남구로역,3.9,1614,서울 금천구 가산디지털2로 127-20,37.4793059,126.87803
스타벅스 구로에이스점,남구로역,3.7,38,서울 구로구 디지털로 285 에이스트윈타워1 103호,37.484428,126.8944451
스미다,남구로역,4.0,121,서울 금천구 벚꽃로 298 대륭포스트6차 b143호,37.4813244,126.8837789
빽다방 가산대륭점,남구로역,3.2,19,서울 금천구 벚꽃로 298 대륭포스트타워6차 107-2호,37.4813244,126.8837789
스타벅스 구로디지털로점,남구로역,4.0,58,서울 구로구 디지털로33길 11 에이스테크노타워8차 1층 101호,37.4857156,126.8955092
메이비,남구로역,2.9,188,서울 구로구 디지털로32나길 51,37.4849284,126.9002596
스타벅스 가산케이에스점,남구로역,4.1,22,서울 금천구 벚꽃로36길 30 가산KS타워 1층,37.4807059,126.8850997
메가MGC커피 가산리더스타워점,남구로역,2.9,36,서울 금천구 벚꽃로 286 삼성리더스타워 지하1층 B103호,37.4803075,126.8841943
바나프레소 가산디지털단지역점,남구로역,5.0,11,서울 금천구 디지털로9길 68 대륭포스트타워5차 1층,37.4809756,126.8863402
스타벅스 가산디지털단지역점,남구로역,4.0,57,서울 금천구 벚꽃로 298 대륭포스트타워 6차,37.4813244,126.8837789
라크라센타,남구로역,3.7,200,서울 구로구 가마산로 242 희망재단 1층,37.494317,126.8876532
이기석커피치즈케익가게,남구로역,5.0,17,서울 구로구 디지털로31길 120 한신휴플러스 상가2동 1층 220호,37.4862521,126.8921456
서로카페,남구로역,4.4,82,서울 구로구 디지털로31길 59-14 1층,37.485515,126.8917093
컴포즈커피 가산로데오점,남구로역,3.0,2,서울 금천구 디지털로9길 56 109호,37.4804174,126.8867969
이디야커피 가산오거리점,남구로역,3.7,25,서울 금천구 가산로 155 케이디에스빌딩 1-2층,37.4788324,126.8900552
메가MGC커피 구로디지털단지점,남구로역,4.8,8,서울 구로구 디지털로31길 41 이앤씨벤처드림타워6차 110호,37.4851381,126.8927305
메가MGC커피 남구로점,남구로역,3.4,27,서울 구로구 디지털로31길 120 한신휴플러스아파트 상가 2동 1층 229~230호,37.4862521,126.8921456
스타벅스 가산디지털점,남구로역,3.8,62,서울 금천구 가산디지털1로 168 우림라이온스밸리 B동 1층,37.479943,126.88268
스타벅스 가산에스케이점,남구로역,3.8,61,서울 금천구 가산디지털1로 171 SKV1센터 1층,37.4806318,126.8805702
파란만잔 구로디지털단지점,남구로역,3.2,48,서울 구로구 디지털로33길 11 에이스테크노타워8차 1층 102호,37.4857156,126.8955092
비포어커피로스터스,남구로역,4.9,120,서울 구로구 디지털로31길 62 아티스포럼 1층 104호,37.4864252,126.892126
투썸플레이스 가산디지털점,남구로역,3.7,52,"서울 금천구 가산디지털1로 186 제이플라츠 1층 106,106-1호",37.4817399,126.8817895
이디야커피 가산리더스타워점,남구로역,4.1,20,서울 금천구 벚꽃로 286 삼성리더스타워 지하 1층,37.4803075,126.8841943
스타벅스 구로디지털타워점,남구로역,3.8,74,서울 구로구 디지털로32길 30 코오롱디지털타워빌란트 1층 101호,37.4834762,126.8965041
오피카,남구로역,5.0,56,서울 구로구 디지털로31길 61,37.4858893,126.8916385
스타벅스 구로호텔점,남구로역,3.8,109,서울 구로구 디지털로32길 72 구로호텔 1층,37.4831963,126.8989296
오브베이크,남구로역,4.6,319,서울 구로구 디지털로32가길 9 대성빌딩 2층 202호,37.48258879999999,126.8995492
할리스 가산디지털단지점,남구로역,3.5,36,서울 금천구 가산디지털1로 186 제이플라츠 1층,37.4817399,126.8817895
투썸플레이스 구로대륭7차점,남구로역,4.5,22,서울 구로구 디지털로33길 48 1층,37.4871857,126.89461
커피스니퍼,회현역,4.1,262,서울 중구 세종대로16길 27 남양빌딩 1층 102호,37.5633771,126.978439
포엠,회현역,4.5,468,서울 중구 명동4길 13 2층,37.5631225,126.9837608
팀홀튼 숭례문그랜드센트럴점,회현역,3.8,353,서울 중구 세종대로 14 L층,37.557877,126.9743793
더스팟 패뷸러스,회현역,3.9,1993,"서울 중구 명동2길 22 1,2층",37.56222229999999,126.9824597
커피앤시가렛,회현역,3.9,1172,서울 중구 서소문로 116 유원빌딩 17층 1706호,37.5626639,126.9740587
가무,회현역,3.7,194,서울 중구 명동4길 16 2-4층,37.5629911,126.9836165
덕수궁 리에제와플,회현역,3.4,1361,서울 중구 덕수궁길 5 1층,37.5647918,126.9764535
퀸즈베이커리카페,회현역,3.0,89,서울 중구 남대문로 30,37.56079390000001,126.9790435
카페피크닉,회현역,3.7,195,서울 중구 퇴계로6가길 30 1층 102호,37.5569642,126.9781391
메가MGC커피 회현SK리더스뷰점,회현역,3.0,13,서울 중구 퇴계로 72 SK리더뷰남산아파트 상가동 1층 101호,37.5591263,126.9806365
르풀,회현역,3.3,401,서울 중구 정동길 33 1층,37.5662178,126.9721631
코인 명동점,회현역,4.2,164,서울 중구 명동6길 10,37.5628646,126.9841442
