name,station,score,review,address,latitude,longitude
커스텀커피 강동암사점,암사동 유적,2.6,16,서울 강동구 고덕로 133 강동롯데캐슬퍼스트아파트 상가동 107호,37.5566495,127.140649
감성커피 암사역점,암사동 유적,4.0,13,서울 강동구 상암로 28 1층,37.5503071,127.126739
카페선사,암사동 유적,5.0,11,서울 강동구 상암로 53 1층,37.5495251,127.129215
노티드 라이트룸 서울(휴업중),암사동 유적,2.8,18,서울 강동구 아리수로61길 105 1층,37.5645202,127.1461361
루나103,암사동 유적,2.8,39,경기 구리시 아차산로 103,37.5676666,127.116979
티하우스,암사동 유적,0.0,0,서울 강동구 상암로5길 77 1층,37.5538088,127.1281158
카페모리,암사동 유적,5.0,27,서울 강동구 올림픽로98길 62 1층 102호,37.5495674,127.129596
카페그린비,암사동 유적,5.0,2,서울 강동구 올림픽로100길 40 102호,37.5518641,127.1306576
요거트아이스크림의정석 암사점,암사동 유적,5.0,7,서울 강동구 올림픽로 757 1층 101호,37.5488868,127.126785
레드리본,암사동 유적,0.0,0,서울 강동구 고덕로24길 26,37.5535262,127.1354408
두콩,암사동 유적,5.0,5,서울 강동구 상암로3길 77,37.5540365,127.1271008
커피베이 강동암사역점,암사동 유적,0.0,0,서울 강동구 상암로4길 22 1층,37.5495959,127.1260726
빽다방 암사역점,암사동 유적,3.8,14,서울 강동구 올림픽로 770 영림빌딩 1층 101호,37.5497879,127.1276734
엘리스스푼컵케잌&커피,암사동 유적,5.0,10,서울 강동구 상암로 47,37.5497502,127.1288051
커피인하라,암사동 유적,0.0,0,서울 강동구 고덕로27길 25,37.5558913,127.1377373
그랜드워커힐서울 더파빌리온,암사동 유적,4.0,212,서울 광진구 워커힐로 177 본관 1층,37.5551679,127.1114168
놀이터,암사동 유적,4.4,6,서울 강동구 고덕로28길 52,37.5525116,127.1384955
스윗솔트,암사동 유적,4.5,851,서울 강동구 상암로 286,37.5457749,127.1542027
꽃차드림,암사동 유적,0.0,0,서울 강동구 상암로5길 77 유진아파트 1층 101호,37.5538088,127.1281158
이츠커피,암사동 유적,5.0,2,서울 강동구 암사길 19 1층,37.5515711,127.1314335
로즈애플 강동롯데캐슬점,암사동 유적,5.0,25,서울 강동구 고덕로 133 롯데캐슬상가 1층 108호,37.5553105,127.1403856
