name,category,region,score,review,value,price,address,latitude,longitude
큰집추어탕,추어,암사동 유적,4.6,112,21.745983966076768,11000,서울 강동구 고덕로 96-1 (우)05255,37.5544606,127.1361461
암사닭강정,닭강정,암사동 유적,3.8,29,12.92455005031619,10000,서울 강동구 고덕로10길 72 1층 (우)05263,37.5516261,127.1290747
태양수산,회,암사동 유적,3.8,61,15.683110663171348,32000,"서울 강동구 상암로 42 암사오피스텔 1층 111,112호 (우)05318",37.5495488,127.127852
더큰바다활어찜,일식,암사동 유적,4.3,6,8.367413640937846,28000,서울 강동구 고덕로 96-7 (우)05255,37.554384,127.1359944
반계락 본점,삼계탕,암사동 유적,3.3,40,12.254787820124216,11500,서울 강동구 고덕로10길 21 1층 (우)05251,37.5536708,127.1301489
풍촌코다리네 본점,"해물,생선",암사동 유적,4.2,346,24.56716407577681,21500,서울 강동구 올림픽로 763 1층 (우)05242,37.549314,127.1269448
빨간쭈꾸미 본점,"해물,생선",암사동 유적,4.0,70,17.050719508165262,14000,서울 강동구 암사길 22 (우)05262,37.5503646,127.1312139
조게찜터,조개,암사동 유적,3.3,34,11.732648602915065,18500,서울 강동구 고덕로10길 11 1층 (우)05251,37.5541026,127.1302708
솔터,한식,암사동 유적,3.5,2,3.845143010338384,14750,서울 강동구 선사로 200-46 (우)05239,37.5573061,127.1283753
하나참치,참치회,암사동 유적,4.2,12,10.772787301338456,77750,서울 강동구 구천면로47길 82 (우)05259,37.5517026,127.1353087
토담골멸치국수,국수,암사동 유적,3.0,7,6.238324625039507,4000,서울 강동구 고덕로25길 6 (우)05237,37.5551182,127.136625
원조강동유황오리주물럭,오리,암사동 유적,2.6,40,9.6552873734312,49250,서울 강동구 올림픽로92길 46 (우)05322,37.5480251,127.1293548
김장하는고기집향산리 암사역점,"육류,고기",암사동 유적,5.0,134,24.526373892192147,48000,서울 강동구 올림픽로 807 1층 (우)05241,37.5531289,127.1283153
카페러블리,카페,암사동 유적,4.6,5,8.242093558449053,4325,서울 강동구 고덕로10길 22 1층 (우)05251,37.5537533,127.1298428
카페쏠트,카페,암사동 유적,5.0,3,6.931471805599453,4125,서울 강동구 고덕로 49 1층 (우)05238,37.5549872,127.1307758
해안반점,중국요리,암사동 유적,3.0,18,8.83331693749932,12375,서울 강동구 고덕로10길 48 1층 (우)05251,37.5526904,127.1294639
동태마을,"해물,생선",암사동 유적,4.2,28,14.142642485943192,24500,서울 강동구 고덕로10길 19 (우)05251,37.5537993,127.1301957
메가MGC커피 암사점,커피전문점,암사동 유적,1.7,10,4.07642196375723,0,서울 강동구 고덕로 95 1층 (우)05237,37.5549255,127.135839
=======
>>>>>>> Stashed changes
