BASE_YM,CTNP_NM,SGGU_NM,TRDAR_NM,MLE_Y20_BELO_SELG_AMNT,MLE_Y20_SELG_AMNT,MLE_Y30_SELG_AMNT,MLE_Y40_SELG_AMNT,MLE_Y50_SELG_AMNT,MLE_Y60_ANM_SELG_AMNT,WO_Y20_BELO_SELG_AMNT,WO_Y20_SELG_AMNT,WO_Y30_SELG_AMNT,WO_Y40_SELG_AMNT,WO_Y50_SELG_AMNT,WO_Y60_ANM_SELG_AMNT
202307,서울특별시,강북구,미아사거리역_1,1837313,558360792,1247853302,1193986771,962175472,489396116,3258956,399844029,1087090489,942609261,716864459,382842095
202406,서울특별시,강남구,학동사거리_2,13589,37255013,239241315,346944018,292416758,78131636,21242,20690943,134089055,168616206,96651408,40826485
202309,서울특별시,종로구,종로5가역_1,101614,377303127,957523715,1164684756,1073405181,769044318,126984,351846500,841601276,1014477542,921081292,631653945
202405,서울특별시,동작구,사당역_2,3080525,735010189,2281144479,1293297621,1136228347,928511899,1558372,452733713,1286337831,635765659,597613309,474788096
202403,서울특별시,종로구,경복궁역_2,1591529,129348942,525761451,533397022,729350699,579313072,1321760,144787016,492123274,395509510,432607769,330127068
202406,서울특별시,중구,을지로4가역,0,58027978,251359130,262045152,297759176,376132750,0,39133796,142409654,117461072,119052045,127396827
202308,서울특별시,구로구,구로역,280514,54697234,177460379,157668719,183222663,84404150,300129,40134413,123610911,126228072,128039073,57170398
202311,서울특별시,강남구,선정릉역_1,0,35608971,202712899,220910091,170828500,156588170,0,18608834,112390812,111782950,90110935,86417662
202405,서울특별시,마포구,마포역_1,1871070,212759585,1132629981,1277348551,1097975106,669137286,1127009,118320556,581779569,636585855,542971103,375281354
202403,서울특별시,중구,북창동,459712,232992600,1311347147,2350922749,1873631643,553305950,558515,111287191,605651428,786428571,560014090,157778055
202405,서울특별시,광진구,구의역,1819796,404215977,1526636849,1276255316,1115146907,679109655,1148857,232638410,832198512,640447684,619565661,383210866
202308,서울특별시,종로구,동대문역_2,0,83997381,358712436,345111276,388189419,377916554,0,60163679,179573268,188984698,205209929,175142431
202402,서울특별시,강동구,천호역_1,852906,417249965,1447199400,923595740,795779754,345738881,717690,266601253,884998545,591048932,484470248,219689992
202401,서울특별시,성동구,왕십리역_1,474421,141622354,507678028,424486392,366961309,242718739,215041,98052488,337788049,270076817,232536026,166778018
202404,서울특별시,송파구,신천역,8787723,1161312736,3665706871,3667980759,2711677111,1334875214,8793273,675461274,1994605446,1922832674,1429074561,738231903
202402,서울특별시,송파구,신천역,7321735,844795306,3011499483,3113578737,2466294032,1194346506,6119230,516477233,1639335911,1684862202,1347266513,718271919
202307,서울특별시,강북구,수유역_1,274204,139436187,325273236,353657742,332510676,199691831,227324,116061379,249199912,270404290,268546271,159695020
202404,서울특별시,종로구,종로구청,1206237,364233149,1930493855,2598241709,2183350979,797646122,1133794,261251131,1271188797,1520832664,1220113703,453395618
202406,서울특별시,양천구,등촌역,1209745,121028526,593377885,557358271,543452805,494163863,1453586,75760531,389808323,379987234,389785930,354092576
202310,서울특별시,영등포구,문래동 주민센터,156,61406688,197761400,256145721,204156158,86639619,107,50570600,159387255,202900712,152153299,62661778
202307,서울특별시,마포구,디지털미디어시티,2334469,436548059,1694551491,1768292994,1285187953,295792863,1889345,342969382,1234399864,1180030903,820491967,196343794
202309,서울특별시,강남구,은마아파트입구사거리_3,15590703,27303408,57617723,221232406,295617309,40603823,18251332,27661182,54181504,245901625,363924598,39855731
202309,서울특별시,서초구,남부터미널역_3,0,76351563,286218605,430228399,387408308,279838567,0,36950391,123920156,169336261,149492325,113930813
202403,서울특별시,서초구,강남역_2,1357877,1247036791,3353651208,1934216101,1088302289,461497540,1453651,742820893,1777122470,968136141,582268456,234970348
202402,서울특별시,중구,명동,2473936,498365576,2229109810,2667011997,2017144269,1036979948,2782747,427445162,1701414572,1857805302,1485849538,726897673
202312,서울특별시,강남구,코엑스,1181990,66805900,223875946,278278172,182442476,83651589,1045360,54540879,181438745,224959139,140914384,65050282
202402,서울특별시,강남구,학동역_2,29,27686987,78378894,95111747,175286762,38813547,16,13534768,47210335,42373850,35672300,24067063
202307,서울특별시,용산구,용산 전자상가_4,0,92344677,353663818,394945301,321615219,164297713,0,47418059,136227372,144819173,132825033,60776707
202401,서울특별시,은평구,불광역_1,117300,89853189,359613175,649240488,842801718,919969901,139150,62519781,252318150,365034960,468340789,484889390
202402,서울특별시,동작구,총신대 앞,0,97309,2796067,19239033,4885044,6207426,0,135853,2420313,14760795,3917882,3618639
202310,서울특별시,서초구,서초역,0,29839673,248099484,385805269,413310200,475139060,0,18423959,134436868,205071964,218636439,371832659
202405,서울특별시,서대문구,신촌역_2,8043916,1966192786,3126403861,1985323597,2332776081,943246197,7616011,1369837928,2143602237,1366364454,1650255525,657369840
202307,서울특별시,서대문구,신촌역_2,6945043,2284995923,3072268047,2044272473,2319358504,799714021,7450723,1611673571,2057421298,1281777898,1622737112,526726251
202404,서울특별시,구로구,구로기계공구상_2,670789,6577304,68367141,119266426,158164959,154942150,673624,5831205,43177281,75221497,87040108,73284307
202309,서울특별시,강동구,둔촌동역,1794225,152524303,566942858,683903213,724540141,495329710,1500385,94744325,346793142,444007821,476706197,332967115
202402,서울특별시,강남구,대치역_1,8786014,6204297,27521551,119152336,133923759,77592954,10363037,6630219,28784210,129292610,143527757,71406848
202312,서울특별시,서초구,교대역_1,2152947,791560420,3076763734,4043517754,3532394793,2175407786,1592229,376005382,1223074860,1412176201,1220661168,718109351
202402,서울특별시,서초구,교대역_1,561368,458473571,2745105564,3147038983,2870410045,1688683906,559997,221359799,1129262479,1161950214,1003349997,564858523
202311,서울특별시,노원구,노원역_1,250230,82013152,258287558,459542621,367721137,140033666,431681,67687360,200360142,319137721,287237019,129987309
202406,서울특별시,마포구,신촌역_1,261797,237562294,502498902,600559303,1357200016,494877579,389801,149930633,350137015,332082833,370232494,314869842
202310,서울특별시,서초구,양재 화물트럭터미널앞,0,11177898,32749119,43637131,82515745,9802937,0,3170841,10474721,12485797,9700475,2602377
