지점,지점명,일시,1시간 최다강수량(mm),최대 풍속(m/s)
108,서울,2024-07-05,3.3,7.6
108,서울,2024-07-06,2,6.5
108,서울,2024-07-07,26.8,4.2
108,서울,2024-07-08,7.1,4
108,서울,2024-07-09,.2,4.7
108,서울,2024-07-10,1.4,4.9
108,서울,2024-07-11,,3.7
108,서울,2024-07-12,,3.4
108,서울,2024-07-13,0,4.2
108,서울,2024-07-14,.4,3.8
108,서울,2024-07-15,0,3.7
108,서울,2024-07-16,7.3,5.1
108,서울,2024-07-17,63.3,6.8
108,서울,2024-07-18,20.2,7.5
108,서울,2024-07-19,.1,4.1
108,서울,2024-07-20,13.8,6.1
108,서울,2024-07-21,4.2,8.3
108,서울,2024-07-22,32.2,7.9
108,서울,2024-07-23,1,6.4
108,서울,2024-07-24,12.4,5.4
108,서울,2024-07-25,15.1,5
108,서울,2024-07-26,5,5.5
108,서울,2024-07-27,15.1,4.5
108,서울,2024-07-28,0,6.8
108,서울,2024-07-29,0,6.6
108,서울,2024-07-30,,4.3
108,서울,2024-07-31,,4.5
108,서울,2024-08-01,.3,3.9
108,서울,2024-08-02,,4.2
108,서울,2024-08-03,,4.3
108,서울,2024-08-04,,3.4
108,서울,2024-08-05,.8,4.8
108,서울,2024-08-06,0,3.7
108,서울,2024-08-07,3.4,3.6
108,서울,2024-08-08,0,3.3
108,서울,2024-08-09,,3.3
108,서울,2024-08-10,,3.7
108,서울,2024-08-11,,3.4
108,서울,2024-08-12,,3.9
108,서울,2024-08-13,0,4.5
108,서울,2024-08-14,3,6.1
108,서울,2024-08-15,6.1,8.2
108,서울,2024-08-16,0,4.8
108,서울,2024-08-17,11,6.4
108,서울,2024-08-18,0,5
108,서울,2024-08-19,2.3,6.4
108,서울,2024-08-20,0,4.2
108,서울,2024-08-21,14.7,5.3
108,서울,2024-08-22,.5,7.5
108,서울,2024-08-23,0,5
108,서울,2024-08-24,1.5,3.6
108,서울,2024-08-25,,4.6
108,서울,2024-08-26,0,3.7
108,서울,2024-08-27,.3,4.5
108,서울,2024-08-28,,4.2
108,서울,2024-08-29,,5.3
108,서울,2024-08-30,,4.5
108,서울,2024-08-31,,4.3
108,서울,2024-09-01,,4.3
108,서울,2024-09-02,2,4.5
108,서울,2024-09-03,,4.4
108,서울,2024-09-04,,3.4
108,서울,2024-09-05,4.7,5.5
108,서울,2024-09-06,.3,4.8
108,서울,2024-09-07,0,3.2
108,서울,2024-09-08,,3.8
108,서울,2024-09-09,,3.6
108,서울,2024-09-10,,3.5
108,서울,2024-09-11,.4,4.2
108,서울,2024-09-12,7.8,3.3
108,서울,2024-09-13,2.6,4.3
108,서울,2024-09-14,0,3.5
108,서울,2024-09-15,,5.4
108,서울,2024-09-16,8,4.9
108,서울,2024-09-17,,4.5
108,서울,2024-09-18,.7,3.6
108,서울,2024-09-19,,2.7
108,서울,2024-09-20,15.8,7.1
108,서울,2024-09-21,10.4,7
108,서울,2024-09-22,,5.1
108,서울,2024-09-23,,4.8
108,서울,2024-09-24,,3.4
108,서울,2024-09-25,0,3.2
